"OILPRICE","CL2_log","CL3_log","CL4_log","CL5_log","CL6_log","CL7_log","CL8_log","CL9_log","CL10_log","CL11_log","CL12_log","CL13_log","CL14_log","CL15_log","BDIY_log","SPX_log","DX1_log","GC1_log","HO1_log","USCI_log","GNR_log","SHCOMP_log","FTSE_log","respLAG","residuos","fitted","obs"
4.64092335569391,4.6364750358165,4.64111631276156,4.64496765586216,4.64803808621527,4.64976106931597,4.65090807766195,4.65186291398007,4.65233999046448,4.65167201963951,4.65062144889201,4.64861274383093,4.64612017231705,4.64323638679455,4.63976483075259,6.8501261661455,7.2216239693935,4.38655387125588,7.41336733569524,1.13619704899538,4.10841181943354,3.91780625018387,7.74453949274077,8.63669918636987,4.63181211693451,0.00523788219430853,4.6356854734996,1
4.6330771392411,4.64535197562092,4.6498567036105,4.65348404626664,4.65633847256249,4.6578575082671,4.65871095291612,4.65956366981842,4.66003708742893,4.6593742400016,4.65795237142706,4.65557808853194,4.65253075734793,4.64918707140487,4.64525590952738,6.8501261661455,7.23530929479846,4.37976157135369,7.41968029819143,1.15256371376058,4.12098649316852,3.94255221046297,7.76253649763892,8.65006186449066,4.64092335569391,-0.011935070542122,4.64501220978322,2
4.63404914553847,4.63783096822764,4.64246597073179,4.64631212931927,4.64966542587464,4.65167201963951,4.65310283974339,4.65434122999454,4.6552927953913,4.65500742083526,4.65386510752685,4.65167201963951,4.64880422300815,4.64573614773475,4.64208054000819,6.87935580446044,7.22275578183793,4.38744940484227,7.41848089774779,1.155181640156,4.11512710140463,3.92395157629342,7.76606090245736,8.63972935747415,4.6330771392411,-0.00326627338231807,4.63731541892079,3
4.64631212931927,4.63831478458039,4.64256230520515,4.64612017231705,4.64870848800257,4.64995232875998,4.65062144889201,4.65109911787649,4.65157655880225,4.65100360233126,4.64956977328478,4.6470795890653,4.64410239598988,4.64092335569391,4.6369595084775,6.88243747099785,7.22225210094197,4.38367527491941,7.41034709782102,1.13674266402938,4.10396480559909,3.92553135545294,7.76515763089925,8.64229162639437,4.63404914553847,0.00850520822326499,4.63780692109601,4
4.63151996131087,4.65052588770889,4.65472196481734,4.65804722558886,4.66032103045294,4.66126692533996,4.66173953747599,4.66211746642984,4.66240081944236,4.66164503291607,4.65994242183507,4.65690838139251,4.65348404626664,4.64976106931597,4.64554408012636,6.89669433162271,7.23762001981748,4.38236407773357,7.39970384697844,1.13994615216109,4.10709624614726,3.9419700817961,7.75576288743858,8.65990729361541,4.64631212931927,-0.0192189782946554,4.65073893960553,5
4.62761637481792,4.63589335863093,4.64034426099575,4.64419857295557,4.6469836888015,4.64842122798241,4.64937844065241,4.65033473794247,4.65109911787649,4.65081254386679,4.64956977328478,4.6469836888015,4.64391001430402,4.64053732982538,4.6364750358165,6.91373735065968,7.23355649654538,4.38295120712502,7.40488757561612,1.13725591226031,4.09767235231478,3.93632529795111,7.77521284576233,8.65613740824062,4.63151996131087,-0.00806269826596124,4.63567907308388,6
4.63521430733647,4.63200683994165,4.63618423951726,4.63986142577802,4.64285125295578,4.6446793190828,4.64592817846026,4.6469836888015,4.64794227783196,4.64794227783196,4.6469836888015,4.64458318834493,4.64159854260164,4.63831478458039,4.63434056328787,6.93537044601511,7.22760439972794,4.38336324101751,7.40853056689463,1.13946628267638,4.10198198935131,3.93358878334271,7.77427997067472,8.65601556209734,4.62761637481792,0.00348098723644846,4.63173332010002,7
4.63579637952985,4.64323638679455,4.64717548013312,4.65052588770889,4.65310283974339,4.65453161552582,4.65548299986168,4.65624345617209,4.65681341913993,4.65633847256249,4.65472196481734,4.65176747136487,4.64813388542021,4.64429474067214,4.63995801147376,6.97260625130175,7.22877299301268,4.37855812634753,7.40336573694165,1.14345817645994,4.1041298629569,3.93730081261241,7.78607827240226,8.66080856932811,4.63521430733647,-0.00779601481625409,4.6435923943461,8
4.64005458784159,4.64005458784159,4.64391001430402,4.64679186067891,4.64861274383093,4.64995232875998,4.65119462429937,4.65214918718209,4.65195834748685,4.65052588770889,4.64775063352321,4.64439089914137,4.64101983888179,4.6369595084775,4.63317438239769,6.99393297522319,7.22032994402696,4.38153901580712,7.39572160860205,1.14415910362408,4.10082352831981,3.92098274679962,7.77845851267277,8.64216808135764,4.63579637952985,-0.000299427392159707,4.64035401523375,9
4.64554408012636,4.64400620977329,4.64755895247988,4.65014355163082,4.65167201963951,4.65281683945544,4.65386510752685,4.65472196481734,4.65434122999454,4.65272148784631,4.64976106931597,4.64621615542409,4.64265863039908,4.63841151976789,4.63443768366866,7.01750614294126,7.22400294215756,4.3790973485013,7.40822749066864,1.14087324738262,4.09982949245267,3.92296294546648,7.7785589853129,8.6498867331417,4.64005458784159,0.000901774242351363,4.64464230588401,10
4.64966542587464,4.64918707140487,4.65233999046448,4.65453161552582,4.65586330030361,4.65690838139251,4.6578575082671,4.65852136148509,4.65804722558886,4.65624345617209,4.65319815499867,4.64956977328478,4.64592817846026,4.64159854260164,4.63744374653839,7.03614849375054,7.23755530583529,4.37587022279997,7.40107862761199,1.15092006829145,4.10462487162966,3.94138761405805,7.78605749823203,8.65153175818804,4.64554408012636,-0.000634729170272331,4.65030015504491,11
4.65329346116982,4.65338875825857,4.65652847826323,4.658805735154,4.66022639173617,4.66136146563783,4.6623063773589,4.66306166440387,4.66258967685558,4.66088867474444,4.65804722558886,4.65453161552582,4.65100360233126,4.64679186067891,4.64285125295578,7.04577657687951,7.24421322978702,4.37413306224226,7.41064953242185,1.16139927676687,4.10429489307527,3.94371545216064,7.78518043463442,8.65672902127337,4.64966542587464,-0.0015010791571357,4.65479454032696,12
4.65272148784631,4.65700333462811,4.66003708742893,4.6619285198067,4.66296728471431,4.66381638142082,4.6644762918855,4.66494739002395,4.66419352643755,4.6623063773589,4.65927951163512,4.65548299986168,4.65167201963951,4.64717548013312,4.64285125295578,7.05272104923232,7.24662464020307,4.37105415660619,7.41667909545853,1.15710129835412,4.10561415448033,3.94912609337965,7.78168950624409,8.66165710565395,4.65329346116982,-0.00587363887860134,4.65859512672491,13
4.66494739002395,4.65643347992563,4.65918477429433,4.66069949578057,4.66145599699868,4.66211746642984,4.6627784986084,4.66315603518674,4.66240081944236,4.66051028102126,4.65766775494585,4.6540555837179,4.65052588770889,4.64621615542409,4.64217691161719,7.05185562295589,7.24273354303902,4.37226666070169,7.40928785583653,1.15794980801362,4.11021791137839,3.94468378766769,7.78168950624409,8.65483114058355,4.65272148784631,0.00699453982220921,4.65795285020174,14
4.65605339630266,4.66814498514948,4.6703959709058,4.67151956652962,4.67208089127072,4.6726419011031,4.67301573288316,4.67320259637992,4.67208089127072,4.66992743320337,4.66673554164625,4.66258967685558,4.65842655228852,4.65376985582415,4.64918707140487,7.04925484125584,7.2483760414154,4.37292282042441,7.41697962138115,1.15596883102745,4.11283914485827,3.95489090565532,7.78168950624409,8.6677144356604,4.66494739002395,-0.0140715788921955,4.67012497519486,15
4.63025296635555,4.65946895939547,4.66183403310563,4.66315603518674,4.66381638142082,4.66438204561994,4.66475897739975,4.66485318814926,4.66372207293771,4.66164503291607,4.65852136148509,4.65434122999454,4.65004794476618,4.64535197562092,4.64101983888179,7.04664727784876,7.24587615584887,4.37602113772196,7.40731771046942,1.14501866148227,4.10165113740454,3.94429656597844,7.79911376955725,8.65836283816268,4.65605339630266,-0.0308684608472656,4.66112142720281,16
4.58995502018161,4.63395198741354,4.63666885304746,4.63860496207433,4.63995801147376,4.64140567857019,4.64275494631536,4.6438138095803,4.6438138095803,4.64285125295578,4.64082686319613,4.6372500794515,4.63336884034677,4.6290820060344,4.62507084769443,7.05358572719368,7.23818788512647,4.37717739609855,7.40107862761199,1.12716735108538,4.09767235231478,3.93280554461067,7.79978610463502,8.65983793105729,4.63025296635555,-0.0447354469950191,4.63469046717663,17
4.58435504627417,4.59390699370938,4.59673470716699,4.59895088617417,4.60045910625797,4.60196505503914,4.60326837869849,4.6044699408737,4.60477010596675,4.60406958054406,4.60216567696779,4.59915211366253,4.59582667098494,4.59188229166116,4.58812575137883,7.05358572719368,7.22190886863971,4.38086345844663,7.40473549592607,1.10154132817399,4.09150720740194,3.90941961955803,7.80466337535121,8.64031307185983,4.58995502018161,-0.00873156482354878,4.59308661109772,18
